title,ratings,reviews,url,course_by,skills,price,id,"level, type and duration"
Microeconomics: When Markets Fail,4.8,574,https://www.coursera.org/learn/microeconomics-part2,University of Pennsylvania,"Behavioral Economics, Business Psychology, Leadership and Management",Free,249,Mixed · Course · 1-3 Months
"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",4.7,766,https://www.coursera.org/learn/transmedia-storytelling,UNSW Sydney (The University of New South Wales),"Communication, Computer Graphics, Creativity, Entrepreneurship, Human Computer Interaction, Interactive Design, Leadership and Management, Marketing, Research and Design, Sales, Storytelling, Strategy, Strategy and Operations, Writing",Free,250,Mixed · Course · 1-3 Months
Cuidado de heridas en el ámbito hospitalario,4.8,19000,https://www.coursera.org/learn/cuidado-heridas,Universidad Nacional Autónoma de México,,Free,251,Intermediate · Course · 1-4 Weeks
Internet Giants: The Law and Economics of Media Platforms,4.8,1000,https://www.coursera.org/learn/internetgiants,The University of Chicago,"Computer Graphics, Entrepreneurship, Leadership and Management, Marketing, Sales, Strategy, Strategy and Operations, Human Computer Interaction, Behavioral Economics, Business Psychology, Computer Networking, Finance, Regulations and Compliance, Virtual Reality",Free,252,Mixed · Course · 1-3 Months
Roman Architecture,4.9,571,https://www.coursera.org/learn/roman-architecture,Yale University,"Business Psychology, Culture, Leadership and Management, Data Architecture, Data Management",Free,253,Beginner · Course · 3-6 Months
Municipal Solid Waste Management in Developing Countries,4.8,32000,https://www.coursera.org/learn/solid-waste-management,École Polytechnique Fédérale de Lausanne,"Leadership and Management, Entrepreneurship, Sales, Account Management, Accounting, Audit, Innovation, Marketing, Planning, Research and Design, Strategy, Strategy and Operations",Free,254,Intermediate · Course · 1-3 Months
Global Marketing: Building Iconic Brands,4.8,37,https://www.coursera.org/learn/global-marketing-building-iconic-brands,University of Illinois at Urbana-Champaign,"Marketing, Brand Management, Communication, Entrepreneurship, Market Research, Research and Design, Advertising, Business Psychology, Culture, Leadership and Management, Marketing Management",Free,255,Mixed · Course · 1-3 Months
Introduction to Chemistry:  Structures and Solutions,4.7,461,https://www.coursera.org/learn/basic-chemistry,Duke University,"Entrepreneurship, Leadership and Management, Problem Solving, Research and Design, Mathematics, Business Analysis, Critical Thinking, Strategy and Operations",Free,256,Beginner · Course · 1-3 Months
Big History: Connecting Knowledge,4.8,17000,https://www.coursera.org/learn/big-history,Macquarie University,"Business Analysis, Business Psychology, Critical Thinking, Entrepreneurship, Human Learning, Strategy and Operations",Free,257,Mixed · Course · 1-3 Months
Script Writing: Write a Pilot Episode for a TV or Web Series (Project-Centered Course),4.5,694,https://www.coursera.org/learn/script-writing,Michigan State University,"Communication, Creativity, Entrepreneurship, Research and Design, Writing",Free,258,Mixed · Course · 1-3 Months
