title,ratings,reviews,url,course_by,skills,price,id,"level, type and duration"
The Science of Well-Being,4.9,355000,https://www.coursera.org/learn/the-science-of-well-being,Yale University,"Personal Development, Business Psychology, Entrepreneurship, Leadership and Management, Professional Development, Adaptability, Resilience, Planning",Free,1,Mixed · Course · 1-3 Months
Indigenous Canada,4.8,208000,https://www.coursera.org/learn/indigenous-canada,University of Alberta,"Leadership and Management, Business Psychology, Culture, Communication, Entrepreneurship, Marketing, Algorithms, Creativity, Finance, Research and Design, Storytelling, Theoretical Computer Science",Free,2,Mixed · Course · 1-3 Months
Financial Markets,4.8,244000,https://www.coursera.org/learn/financial-markets-global,Yale University,"Finance, Banking, Investment Management, Risk Management, Securities Trading, Financial Management, Regulations and Compliance, Securities Sales, Underwriting, Business Psychology, Behavioral Economics, Accounting, Adaptability, Budget Management, Innovation, Media Strategy & Planning, Resilience, Taxes, Business Analysis, Business Process Management, Corporate Accouting, Data Analysis, Entrepreneurship, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Probability & Statistics, Statistical Tests, Strategy and Operations",Free,3,Beginner · Course · 1-3 Months
The Science of Well-Being for Teens,4.8,29,https://www.coursera.org/learn/the-science-of-well-being-for-teens,Yale University,,Free,4,Beginner · Course · 1-3 Months
Introduction to Psychology,4.9,255000,https://www.coursera.org/learn/introduction-psychology,Yale University,"Business Psychology, Emotional Intelligence, Writing",Free,5,Beginner · Course · 1-3 Months
Writing in the Sciences,4.9,75000,https://www.coursera.org/learn/sciwrite,Stanford University,"Communication, Writing, Social Media",Free,6,Beginner · Course · 1-3 Months
Introduction to Statistics,4.6,2000,https://www.coursera.org/learn/stanford-statistics,Stanford University,"Data Science, General Statistics, Probability & Statistics, Statistical Tests, Estimation, Basic Descriptive Statistics, Correlation And Dependence, Probability Distribution, Regression, Bayesian Statistics, Data Analysis, Data Visualization, Econometrics, Experiment, Machine Learning, Markov Model, Plot (Graphics), Statistical Analysis, Statistical Visualization",Free,7,Beginner · Course · 1-3 Months
Stanford Introduction to Food and Health,4.7,284000,https://www.coursera.org/learn/food-and-health,Stanford University,,Free,8,Beginner · Course · 1-3 Months
Overcoming Dyslexia,4.7,104,https://www.coursera.org/learn/dyslexia,Yale University,"Web Design, Web Development, Algebra, Mathematics",Free,9,Beginner · Course · 1-3 Months
Private Equity and Venture Capital,4.8,74000,https://www.coursera.org/learn/private-equity,Università Bocconi,"Banking, Finance, Mergers & Acquisitions, Financial Management, Financial Analysis, Investment Management, Regulations and Compliance, Accounting, Decision Making, Entrepreneurship, Leadership and Management",Free,10,Mixed · Course · 1-3 Months
How to Manage a Remote Team,4.8,810,https://www.coursera.org/learn/remote-team-management,GitLab,"Business Psychology, Entrepreneurship, Leadership and Management, Human Resources, People Development, Collaboration, Communication, Culture, Adaptability, Organizational Development, Performance Management, Project Management, Strategy and Operations, Business Analysis, Business Transformation, Marketing, People Management, Recruitment, Sales, Strategy",Free,11,Intermediate · Course · 1-3 Months
Successful Negotiation: Essential Strategies and Skills,4.8,179000,https://www.coursera.org/learn/negotiation-skills,University of Michigan,"Communication, Marketing, Negotiation, Sales",Free,12,Mixed · Course · 1-3 Months
Connected Leadership,4.6,24,https://www.coursera.org/learn/connected-leadership,Yale University,"Entrepreneurship, Strategy and Operations, Leadership and Management, Marketing, Sales, Strategy, Change Management, Human Resources, Leadership Development, Business Analysis, Critical Thinking, Project Management, Research and Design, Accounting, Audit, Business Process Management, Computer Programming, Computer Programming Tools, FinTech, Finance, Operating Systems, Operations Management, People Management, Systems Design, Theoretical Computer Science, Emotional Intelligence",Free,13,Beginner · Course · 1-3 Months
Agile with Atlassian Jira,4.7,77000,https://www.coursera.org/learn/agile-atlassian-jira,Atlassian,"Project Management, Strategy and Operations, Jira (Software), Scrum (Software Development), Agile Software Development, Leadership and Management, Operations Management, Software Engineering, Supply Chain and Logistics",Free,14,Beginner · Course · 1-4 Weeks
Organizational Analysis,4.6,13000,https://www.coursera.org/learn/organizational-analysis,Stanford University,"Business Psychology, Entrepreneurship, Organizational Development, Leadership and Management, Culture, Business Analysis, Business Communication, Business Transformation, Communication, Business Process Management, Decision Making, General Statistics, Human Resources, Marketing, Mathematics, Network Analysis, Probability & Statistics, Sales, Social Media, Strategy, Strategy and Operations",Free,15,Beginner · Course · 1-3 Months
The Strategy of Content Marketing,4.5,39000,https://www.coursera.org/learn/content-marketing,"University of California, Davis","Communication, Marketing, Media Strategy & Planning, Business Psychology, Marketing Design, Marketing Management, Marketing Psychology, Media Production, Research and Design, Digital Marketing, Influencing, Writing, Advertising, Advertising Sales, MarTech, Storytelling, Brand Management, Entrepreneurship, Leadership and Management, Sales, Strategy, Strategy and Operations",Free,16,Intermediate · Course · 1-3 Months
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,4.9,45000,https://www.coursera.org/learn/negotiation,Yale University,"Communication, Marketing, Negotiation, Sales, Business Analysis, Critical Thinking, Entrepreneurship, Game Theory, Leadership and Management, Mathematics, Problem Solving, Research and Design, Strategy, Strategy and Operations",Free,17,Mixed · Course · 1-3 Months
Primeros Auxilios Psicológicos (PAP),4.8,95000,https://www.coursera.org/learn/pap,Universitat Autònoma de Barcelona,"Entrepreneurship, Business Psychology, Resilience, Communication",Free,18,Mixed · Course · 1-3 Months
Electric Industry Operations and Markets,4.8,11000,https://www.coursera.org/learn/electricity,Duke University,"Finance, Regulations and Compliance",Free,19,Beginner · Course · 1-4 Weeks
Game Theory,4.6,43000,https://www.coursera.org/learn/game-theory-1,Stanford University,"Game Theory, Mathematics, Research and Design, Entrepreneurship, Leadership and Management, Marketing, Sales, Strategy, Strategy and Operations, Probability & Statistics",Free,20,Beginner · Course · 1-3 Months
"Brand Management: Aligning Business, Brand and Behaviour",4.9,65000,https://www.coursera.org/learn/brand,University of London,"Brand Management, Marketing, Communication, Marketing Management, Marketing Design, Research and Design, Business Analysis, Business Psychology, Business Transformation, Finance, Financial Management, Human Resources, Organizational Development, Persona Research, Talent Management, Corporate Accouting, Customer Relationship Management, Customer Success, Leadership and Management, Sales, Strategy and Operations",Free,21,Beginner · Course · 1-3 Months
Management of Fashion and Luxury Companies,4.7,54000,https://www.coursera.org/learn/mafash,Università Bocconi,"Brand Management, Marketing, Business Design, Business Research, Communication, Market Analysis, Marketing Management, Research and Design, Retail Sales, Sales, Advertising, Advertising Sales, Digital Marketing, Influencing, Leadership and Management, Market Research, Merchandising, Strategy, Strategy and Operations, Business Communication, Design and Product, E-Commerce, Entrepreneurship, Retail Store Operations, Supply Chain and Logistics",Free,22,Mixed · Course · 1-3 Months
International Women's Health and Human Rights,4.9,14000,https://www.coursera.org/learn/womens-health-human-rights,Stanford University,"Epidemiology, Entrepreneurship, Leadership and Management, Planning, Supply Chain and Logistics",Free,23,Beginner · Course · 3-6 Months
English for Career Development,4.8,138000,https://www.coursera.org/learn/careerdevelopment,University of Pennsylvania,"Communication, Entrepreneurship, Writing, Human Learning",Free,24,Mixed · Course · 1-3 Months
Child Nutrition and Cooking,4.8,96000,https://www.coursera.org/learn/childnutrition,Stanford University,"Culture, Leadership and Management",Free,25,Beginner · Course · 1-3 Months
Understanding the Brain: The Neurobiology of Everyday Life,4.9,26000,https://www.coursera.org/learn/neurobiology,The University of Chicago,"Communication, Epidemiology",Free,26,Beginner · Course · 1-3 Months
The Manager's Toolkit: A Practical Guide to Managing People at Work,4.7,33000,https://www.coursera.org/learn/people-management,University of London,"Human Resources, Leadership and Management, People Management, Compensation, Conflict Management, Decision Making, Human Resources Operations, Leadership Development, People Analysis, Performance Management, Recruitment, Strategy and Operations, Business Analysis, Employee Relations, Organizational Development, People Development",Free,27,Mixed · Course · 1-3 Months
Macroeconomics for Business Management,4.8,248,https://www.coursera.org/learn/macroeconomics-for-business-management,Fundação Instituto de Administração,"Accounting, General Accounting",Free,28,Beginner · Course · 1-4 Weeks
First Step Korean,4.9,464000,https://www.coursera.org/learn/learn-korean,Yonsei University,,Free,29,Beginner · Course · 1-3 Months
Learning How to Learn: Powerful mental tools to help you master tough subjects,4.8,859000,https://www.coursera.org/learn/learning-how-to-learn,Deep Teaching Solutions,"Personal Development, Business Psychology, Human Learning, Entrepreneurship, Collaboration, Decision Making, Problem Solving",Free,30,Beginner · Course · 1-4 Weeks
Introduction to User Experience Design,4.5,75000,https://www.coursera.org/learn/user-experience-design,Georgia Institute of Technology,"Design and Product, Human Computer Interaction, Product Design, User Experience, Application Development, Business Psychology, Change Management, Entrepreneurship, Leadership and Management, Market Research, Research and Design, Software Engineering, Strategy and Operations, User Experience Design, User Research",Free,31,Beginner · Course · 1-3 Months
Contabilidad para no contadores,4.8,81000,https://www.coursera.org/learn/contabilidad,Universidad Nacional Autónoma de México,"Accounting, Finance",Free,32,Beginner · Course · 1-3 Months
Medical Neuroscience,4.9,26000,https://www.coursera.org/learn/medical-neuroscience,Duke University,,Free,33,Advanced · Course · 3-6 Months
Forensic Accounting and Fraud Examination,4.7,5000,https://www.coursera.org/learn/forensic-accounting,West Virginia University,"Business Research, Finance, Financial Management, Regulations and Compliance, Research and Design, Accounting, Audit, Financial Accounting, Data Analysis, Data Analysis Software, Big Data, Business Analysis, Critical Thinking, Data Management, Financial Analysis, General Accounting, Strategy and Operations",Free,34,Mixed · Course · 1-3 Months
Cybersecurity for Everyone,4.7,624,https://www.coursera.org/learn/cybersecurity-for-everyone,"University of Maryland, College Park","Cyberattacks, Security Engineering, Computer Networking, Computer Architecture, Network Architecture",Free,35,Beginner · Course · 1-3 Months
Cryptography I,4.8,41000,https://www.coursera.org/learn/crypto,Stanford University,"Cryptography, Theoretical Computer Science, Security Engineering, Algebra, Mathematical Theory & Analysis, Mathematics",Free,36,Mixed · Course · 1-3 Months
Introductory Human Physiology,4.8,46000,https://www.coursera.org/learn/physiology,Duke University,,Free,37,Mixed · Course · 1-3 Months
Managing Emotions in Times of Uncertainty & Stress,4.8,24000,https://www.coursera.org/learn/managing-emotions-uncertainty-stress,Yale University,"Strategy and Operations, Communication, Decision Making, Emotional Intelligence, Entrepreneurship, Leadership and Management",Free,38,Beginner · Course · 1-3 Months
Data Management for Clinical Research,4.7,14000,https://www.coursera.org/learn/clinical-data-management,Vanderbilt University,"Data Management, Leadership and Management, Clinical Data Management, Research and Design, Data Analysis, Database Application, Databases, Extract, Transform, Load, Statistical Analysis, Survey Creation, Database Design",Free,39,Beginner · Course · 1-3 Months
Global Diplomacy – Diplomacy in the Modern World,4.7,43000,https://www.coursera.org/learn/global-diplomacy,University of London,"Communication, Marketing, Negotiation, Sales",Free,40,Mixed · Course · 1-3 Months
International Humanitarian Law in Theory and Practice,4.8,15000,https://www.coursera.org/learn/international-humanitarian-law,Universiteit Leiden,,Free,41,Beginner · Course · 1-3 Months
Antibiotic Stewardship,4.5,338,https://www.coursera.org/learn/antibiotic-stewardship,Stanford University,"General Statistics, Leadership and Management, Probability & Statistics",Free,42,Advanced · Course · 1-3 Months
Understanding Clinical Research: Behind the Statistics,4.8,31000,https://www.coursera.org/learn/clinical-research,University of Cape Town,"Business Analysis, Data Analysis, General Statistics, Probability & Statistics, Statistical Analysis, Basic Descriptive Statistics, Experiment, Research and Design, Statistical Tests, Probability Distribution",Free,43,Mixed · Course · 1-3 Months
Social Psychology,4.7,45000,https://www.coursera.org/learn/social-psychology,Wesleyan University,"Communication, General Statistics",Free,44,Beginner · Course · 1-3 Months
Positive Psychiatry and Mental Health,4.8,32000,https://www.coursera.org/learn/positive-psychiatry,The University of Sydney,"Business Psychology, Entrepreneurship, Resilience",Free,45,Mixed · Course · 1-3 Months
Animal Behaviour and Welfare,4.8,47000,https://www.coursera.org/learn/animal-welfare,The University of Edinburgh,,Free,46,Mixed · Course · 1-3 Months
Terrorism and Counterterrorism: Comparing Theory and Practice,4.8,3000,https://www.coursera.org/learn/terrorism,Universiteit Leiden,"Entrepreneurship, Business Psychology, Communication, Leadership and Management, Marketing, Resilience, Sales, Strategy, Strategy and Operations",Free,47,Beginner · Course · 1-3 Months
What is the Metaverse?,4.6,495,https://www.coursera.org/learn/what-is-the-metaverse,Meta,"Computer Graphics, Human Computer Interaction, Virtual Reality, Finance, Interactive Design, BlockChain, Marketing, Accounting, Advertising, Big Data, Business Analysis, Business Psychology, Cloud Computing, Communication, Computer Architecture, Computer Vision, Culture, Data Analysis, Data Management, Decision Making, Digital Marketing, Entrepreneurship, FinTech, Financial Analysis, Hardware Design, Human Resources, Leadership and Management, Machine Learning, Operating Systems, Organizational Development, Regulations and Compliance, Security Engineering, Software Engineering, Software Engineering Tools, Software Security, System Security, User Experience, Benefits, E-Commerce, General Accounting, Sales",Free,48,Beginner · Course · 1-3 Months
Étudier en France: French Intermediate course B1-B2,4.8,44000,https://www.coursera.org/learn/etudier-en-france,École Polytechnique,"Communication, Writing",Free,49,Intermediate · Course · 1-3 Months
Introduction to Cybersecurity Foundations,4.6,105,https://www.coursera.org/learn/introduction-to-cybersecurity-foundations,Infosec,"Cloud Computing, Computer Networking, Network Security, Operating Systems, Security Engineering, System Security, Cloud Platforms, Programming Principles, Systems Design, Theoretical Computer Science",Free,50,Beginner · Course · 1-4 Weeks
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",4.6,11000,https://www.coursera.org/learn/advanced-valuation-and-strategy,Erasmus University Rotterdam,"Finance, Mergers & Acquisitions, Business Analysis, Data Analysis, Financial Analysis, Investment Management, Accounting, Entrepreneurship, Leadership and Management, Marketing, Sales, Strategy, Strategy and Operations, Financial Accounting, Financial Management, Game Theory, Mathematics, Risk Management, Decision Making",Free,51,Advanced · Course · 1-3 Months
Corporate Strategy,4.8,15000,https://www.coursera.org/learn/corporatestrategy,University of London,"Entrepreneurship, Leadership and Management, Marketing, Sales, Strategy, Strategy and Operations, Finance, Mergers & Acquisitions, Business Development, Accounting, Business Analysis, Business Psychology, Data Analysis, Decision Making, Financial Analysis, Investment Management, Organizational Development",Free,52,Beginner · Course · 1-4 Weeks
Introduction to Mathematical Thinking,4.8,25000,https://www.coursera.org/learn/mathematical-thinking,Stanford University,"Mathematical Theory & Analysis, Mathematics, Business Analysis, Critical Thinking, Research and Design, Strategy and Operations",Free,53,Intermediate · Course · 1-3 Months
Clinical Terminology for International and U.S. Students,4.8,29000,https://www.coursera.org/learn/clinical-terminology,University of Pittsburgh,,Free,54,Beginner · Course · 1-3 Months
Behavioral Finance,4.4,36000,https://www.coursera.org/learn/duke-behavioral-finance,Duke University,"Behavioral Economics, Business Psychology, Communication, Decision Making, Emotional Intelligence, Entrepreneurship, Finance, Leadership and Management, Risk Management",Free,55,Mixed · Course · 1-4 Weeks
Introduction to Psychology,4.9,48000,https://www.coursera.org/learn/introduction-psych,University of Toronto,"Business Psychology, Communication, Emotional Intelligence, Entrepreneurship, Human Resources, Leadership Development, Leadership and Management, People Development, Human Learning",Free,56,Mixed · Course · 1-3 Months
Learn to Program: The Fundamentals,4.7,6000,https://www.coursera.org/learn/learn-to-program,University of Toronto,"Computer Programming, Python Programming, Computational Thinking, Computational Logic, Business Analysis, Critical Thinking, Entrepreneurship, Leadership and Management, Problem Solving, Programming Principles, Research and Design, Statistical Programming, Strategy and Operations, Theoretical Computer Science",Free,57,Beginner · Course · 1-3 Months
Principles of Sustainable Finance,4.7,13000,https://www.coursera.org/learn/sustainable-finance,Erasmus University Rotterdam,"Business Analysis, Business Transformation, Entrepreneurship, Finance, Financial Management, Innovation, Leadership and Management, Problem Solving, Research and Design, Marketing, Sales, Strategy, Strategy and Operations, Banking, Risk Management",Free,58,Intermediate · Course · 1-3 Months
Introduction to Calculus,4.8,32000,https://www.coursera.org/learn/introduction-to-calculus,The University of Sydney,"Mathematics, Calculus, Algebra, Differential Equations, Mathematical Theory & Analysis, Applied Mathematics",Free,59,Intermediate · Course · 1-3 Months
Food & Beverage Management,4.8,41000,https://www.coursera.org/learn/food-beverage-management,Università Bocconi,"Design and Product, Marketing, Business Analysis, Customer Analysis, Product Marketing, Product Strategy, Brand Management, Communication, Entrepreneurship, Leadership and Management, Market Analysis, Marketing Management, Sales, Strategy, Strategy and Operations, Innovation, Product Lifecycle, Product Management, Research and Design, Supply Chain Systems, Supply Chain and Logistics",Free,60,Mixed · Course · 1-3 Months
An Introduction to American Law,4.8,45000,https://www.coursera.org/learn/american-law,University of Pennsylvania,,Free,61,Beginner · Course · 1-3 Months
Driving business towards the Sustainable Development Goals,4.8,11000,https://www.coursera.org/learn/sdgbusiness,Erasmus University Rotterdam,"Business Research, Leadership and Management, Research and Design, Business Analysis, Business Transformation, Entrepreneurship, Innovation, Problem Solving, Business Design, Market Research, Collaboration, Communication, Professional Development, Business Psychology, Entrepreneurial Finance, Finance, Human Resources, Leadership Development, Organizational Development, Planning, Risk Management, Adaptability, Culture, Strategy",Free,62,Beginner · Course · 1-3 Months
Everyday Parenting: The ABCs of Child Rearing,4.9,26000,https://www.coursera.org/learn/everyday-parenting,Yale University,"Communication, Research and Design, Operations Research, Strategy and Operations",Free,63,Beginner · Course · 1-4 Weeks
International Organizations Management,4.8,16000,https://www.coursera.org/learn/international-organizations-management,University of Geneva,"Entrepreneurship, Leadership and Management, Business Psychology, Organizational Development, Collaboration, Communication, Marketing, Sales, Strategy, Strategy and Operations, Brand Management, Market Analysis, Computer Networking, Human Resources, Leadership Development, Marketing Management, Media Strategy & Planning, Network Model",Free,64,Beginner · Course · 1-3 Months
Réussir le Changement,4.5,18000,https://www.coursera.org/learn/reussir-le-changement,ESSEC Business School,"Change Management, Leadership and Management, Strategy and Operations, Entrepreneurship, Human Resources, Business Psychology, Communication, Project Management, Training",Free,65,Mixed · Course · 1-3 Months
Understanding Research Methods,4.6,66000,https://www.coursera.org/learn/research-methods,University of London,Leadership and Management,Free,66,Mixed · Course · 1-4 Weeks
Write Your First Novel,4.2,248,https://www.coursera.org/learn/write-your-first-novel,Michigan State University,"Business Psychology, Communication, Creativity, Entrepreneurship, Leadership and Management, Organizational Development, Research and Design, Storytelling, Writing",Free,67,Beginner · Course · 3-6 Months
Introducción a la programación en Python I: Aprendiendo a programar con Python,4.4,39000,https://www.coursera.org/learn/aprendiendo-programar-python,Pontificia Universidad Católica de Chile,"Computer Programming, Python Programming, Statistical Programming, Programming Principles",Free,68,Beginner · Course · 1-3 Months
Moral Foundations of Politics,4.9,53000,https://www.coursera.org/learn/moral-politics,Yale University,,Free,69,Mixed · Course · 1-3 Months
Addiction Treatment: Clinical Skills for Healthcare Providers,4.8,15000,https://www.coursera.org/learn/addiction-treatment,Yale University,"Communication, Leadership and Management",Free,70,Beginner · Course · 1-3 Months
International Law in Action: the Arbitration of International Disputes,4.8,1000,https://www.coursera.org/learn/arbitration-international-disputes,Universiteit Leiden,,Free,71,Mixed · Course · 1-3 Months
Essentials in Clinical Simulations Across the Health Professions,4.8,907,https://www.coursera.org/learn/clinicalsimulations,The George Washington University,"Leadership and Management, Strategy and Operations, Entrepreneurship, Marketing, Planning, Sales, Strategy, Supply Chain and Logistics, Business Psychology, Human Resources, Professional Development, Training, Communication, Budget Management, Change Management, Finance, Operations Management, Operations Research",Free,72,Intermediate · Course · 1-3 Months
WhatsApp Business Platform for Developers,4.3,12,https://www.coursera.org/learn/whatsapp-business-platform-for-developers,Meta,"Cloud API, Cloud Computing, Cloud Applications, Cloud Platforms, Cloud-Based Integration, Software Architecture, Software Engineering, Theoretical Computer Science, Communication, Computer Programming, Computer Programming Tools",Free,73,Intermediate · Course · 1-4 Weeks
Vital Signs: Understanding What the Body Is Telling Us,4.8,58000,https://www.coursera.org/learn/vital-signs,University of Pennsylvania,,Free,74,Mixed · Course · 1-3 Months
Astronomy: Exploring Time and Space,4.8,34000,https://www.coursera.org/learn/astro,University of Arizona,,Free,75,Beginner · Course · 1-3 Months
Industrial Biotechnology,4.7,29000,https://www.coursera.org/learn/industrial-biotech,University of Manchester,,Free,76,Beginner · Course · 1-3 Months
Introduction to English Common Law,4.8,16000,https://www.coursera.org/learn/intro-common-law,University of London,,Free,77,Beginner · Course · 1-3 Months
An Introduction to Consumer Neuroscience & Neuromarketing,4.7,29000,https://www.coursera.org/learn/neuromarketing,Copenhagen Business School,"Marketing, Business Psychology, Marketing Psychology, MarTech, Emotional Intelligence, Human Learning, Leadership and Management, Entrepreneurship, Market Research, Research and Design",Free,78,Beginner · Course · 1-3 Months
Sports Marketing,4.7,11000,https://www.coursera.org/learn/sports-marketing,Northwestern University,"Communication, Entrepreneurship, Market Analysis, Marketing, Sales, Strategy, Strategy and Operations",Free,79,Intermediate · Course · 1-3 Months
International Leadership and Organizational Behavior,4.8,29000,https://www.coursera.org/learn/organizational-behavior,Università Bocconi,"Leadership and Management, Business Psychology, Culture, Human Resources, Communication, Entrepreneurship, Leadership Development, Organizational Development, Business Communication, Collaboration, Conflict Management, Emotional Intelligence, People Development, Adaptability, Marketing, Mathematics, Network Analysis, Social Media",Free,80,Mixed · Course · 1-3 Months
Dog Emotion and Cognition,4.7,44000,https://www.coursera.org/learn/dog-emotion-and-cognition,Duke University,"Experiment, Probability & Statistics, Communication, Entrepreneurship, Leadership and Management, Problem Solving, Research and Design",Free,81,Mixed · Course · 1-3 Months
Creative Thinking: Techniques and Tools for Success,4.7,38000,https://www.coursera.org/learn/creative-thinking-techniques-and-tools-for-success,Imperial College London,"Research and Design, Entrepreneurship, Creativity, Leadership and Management, Business Psychology, Human Learning, Problem Solving, Business Analysis, Collaboration, Communication, Critical Thinking, Innovation, Strategy and Operations, Design and Product, Product Development",Free,82,Beginner · Course · 1-3 Months
Circular Economy - Sustainable Materials Management,4.8,16000,https://www.coursera.org/learn/circular-economy,Lund University,"Leadership and Management, Design and Product, Product Lifecycle, Material Handling, Planning, Supply Chain Systems, Supply Chain and Logistics, Business Analysis, Operational Analysis",Free,83,Beginner · Course · 1-3 Months
Code Yourself! An Introduction to Programming,4.7,31000,https://www.coursera.org/learn/intro-programming,The University of Edinburgh,"Computational Thinking, Computer Programming, Algorithms, Design and Product, Human Computer Interaction, Product Design, Theoretical Computer Science, User Experience, Entrepreneurship, Journalism, Leadership and Management, Other Programming Languages, Problem Solving, Programming Principles, Research and Design, Software Engineering",Free,84,Beginner · Course · 1-3 Months
Dino 101: Dinosaur Paleobiology,4.9,32000,https://www.coursera.org/learn/dino101,University of Alberta,,Free,85,Beginner · Course · 1-3 Months
Fundamentals of Music Theory,4.5,16000,https://www.coursera.org/learn/edinburgh-music-theory,The University of Edinburgh,,Free,86,Beginner · Course · 1-3 Months
Oil & Gas Industry Operations and Markets,4.8,54000,https://www.coursera.org/learn/oilandgas,Duke University,"Market Research, Strategy and Operations, Design and Product, Marketing, Operations Management, Product Marketing, Sales, Supply Chain and Logistics, Transportation Operations Management",Free,87,Mixed · Course · 1-4 Weeks
Introduction to Engineering Mechanics,4.8,46000,https://www.coursera.org/learn/engineering-mechanics-statics,Georgia Institute of Technology,"Entrepreneurship, Leadership and Management, Mathematics, Problem Solving, Research and Design",Free,88,Mixed · Course · 1-3 Months
English for Journalism,4.8,25000,https://www.coursera.org/learn/journalism,University of Pennsylvania,"Communication, Journalism, Marketing, Social Media, Writing, Business Psychology, Culture, Data Visualization, Digital Marketing, General Statistics, Leadership and Management, Probability & Statistics",Free,89,Mixed · Course · 1-3 Months
Learning to Teach Online,4.7,29000,https://www.coursera.org/learn/teach-online,UNSW Sydney (The University of New South Wales),"Business Psychology, Change Management, Entrepreneurship, Human Learning, Human Resources, Leadership and Management, People Development, Strategy and Operations, Supply Chain and Logistics",Free,90,Beginner · Course · 1-3 Months
Health Behavior Change: From Evidence to Action,4.8,278,https://www.coursera.org/learn/health-behavior-change,Yale University,,Free,91,Beginner · Course · 1-3 Months
Computational Neuroscience,4.6,1000,https://www.coursera.org/learn/computational-neuroscience,University of Washington,"Data Science, Machine Learning, Artificial Neural Networks, Python Programming, Statistical Programming, Matlab, Reinforcement Learning, Business Psychology, Communication, Computer Networking, Computer Programming, Data Analysis, Data Analysis Software, Deep Learning, Entrepreneurship, General Statistics, Linear Algebra, Machine Learning Algorithms, Mathematics, Network Model, Probability & Statistics, Probability Distribution",Free,92,Beginner · Course · 1-3 Months
Microeconomics Principles,4.8,27000,https://www.coursera.org/learn/microeconomics,University of Illinois at Urbana-Champaign,"Entrepreneurship, Market Research, Research and Design, Accounting, General Accounting, Critical Thinking",Free,93,Beginner · Course · 1-3 Months
Understanding Einstein: The Special Theory of Relativity,4.9,29000,https://www.coursera.org/learn/einstein-relativity,Stanford University,"Leadership and Management, Problem Solving, Mathematics, Algebra",Free,94,Beginner · Course · 1-3 Months
Politics and Economics of International Energy,4.7,17000,https://www.coursera.org/learn/global-energy,Sciences Po,"Finance, Regulations and Compliance",Free,95,Beginner · Course · 1-3 Months
Schizophrenia,4.8,19000,https://www.coursera.org/learn/schizophrenia,Wesleyan University,,Free,96,Intermediate · Course · 1-3 Months
"Innovation Through Design: Think, Make, Break, Repeat",4.8,15000,https://www.coursera.org/learn/innovation-through-design,The University of Sydney,"Critical Thinking, Design and Product, Entrepreneurship, Innovation, Leadership and Management, Problem Solving, Product Design, Product Management, Research and Design, Strategy and Operations, Technical Product Management, Business Analysis, Persona Research, Human Computer Interaction, User Experience",Free,97,Beginner · Course · 1-3 Months
Nutrition and Lifestyle in Pregnancy,4.8,28000,https://www.coursera.org/learn/nutrition-pregnancy,Ludwig-Maximilians-Universität München (LMU),,Free,98,Intermediate · Course · 1-4 Weeks
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,4.6,703,https://www.coursera.org/learn/corp-sustainability,Università Bocconi,"Adaptability, Business Analysis, Business Psychology, Business Transformation, Entrepreneurship, Leadership and Management, Organizational Development, Customer Analysis, Marketing, Sales, Strategy, Strategy and Operations",Free,99,Mixed · Course · 1-3 Months
Conflict Transformation,4.8,377,https://www.coursera.org/learn/conflict-transformation,Emory University,Communication,Free,100,Beginner · Course · 1-3 Months
Leading Healthcare Quality and Safety,4.7,11000,https://www.coursera.org/learn/quality-healthcare,The George Washington University,"Leadership and Management, Strategy and Operations, Entrepreneurship, Problem Solving, Research and Design, Finance, Marketing, Risk Management, Sales, Strategy",Free,101,Beginner · Course · 1-3 Months
The Social Context of Mental Health and Illness,4.7,481,https://www.coursera.org/learn/mental-health,University of Toronto,,Free,102,Mixed · Course · 1-3 Months
Introduction to Dental Medicine,4.8,13000,https://www.coursera.org/learn/dental-medicine-penn,University of Pennsylvania,"Epidemiology, Probability & Statistics",Free,103,Beginner · Course · 1-3 Months
Innovation Management,4.7,18000,https://www.coursera.org/learn/innovation-management,Erasmus University Rotterdam,"Entrepreneurship, Innovation, Leadership and Management, Research and Design, Human Resources, Big Data, Business Psychology, Data Management, People Development, Planning, Supply Chain and Logistics, Creativity, Design and Product, Product Development, Product Strategy",Free,104,Beginner · Course · 1-3 Months
Gender and Sexuality: Diversity and Inclusion in the Workplace,4.7,879,https://www.coursera.org/learn/gender-sexuality,University of Pittsburgh,"Communication, Employee Relations, Human Resources",Free,105,Beginner · Course · 1-4 Weeks
Introdução à Ciência da Computação com Python Parte 1,4.9,67000,https://www.coursera.org/learn/ciencia-computacao-python-conceitos,Universidade de São Paulo,"Computer Programming, Python Programming, Statistical Programming, Programming Principles, Theoretical Computer Science, Algorithms, Computational Logic, Computer Programming Tools, Mathematics, Mathematical Theory & Analysis",Free,106,Beginner · Course · 1-3 Months
Scaling Operations: Linking Strategy and Execution,4.6,238,https://www.coursera.org/learn/operations-strategy,Northwestern University,"Strategy and Operations, Marketing, Operations Management, Accounting, Cost Accounting, Entrepreneurship, Finance, Leadership and Management, Market Analysis, Sales, Strategy, Budget Management, Facility Management, Investment Management, Marketing Design, Research and Design, Supply Chain and Logistics, Transportation Operations Management",Free,107,Mixed · Course · 1-3 Months
